epoch,phase,time,mem_usage,mem_alloc,mem_cache,power_draw,gpu_util,temperature
-1,init,0.0,2,48308224,274726912,77590,12,48
0,train,4255.04766869545,7,11333741056,79245082624,89842,27,57
0,val,273.89785075187683,3,931482112,3804233728,92821,100,59
1,train,4540.228125333786,18,11333741056,75776393216,86329,69,57
1,val,274.03922176361084,6,931482112,75776393216,90742,26,59
2,train,4534.214730978012,11,11333741056,75776393216,87594,38,58
2,val,275.0660879611969,3,931482112,75776393216,89862,13,60
3,train,4555.681805372238,17,11333741056,75776393216,87193,68,57
3,val,274.7099266052246,14,931482112,75776393216,89660,55,60
4,train,4549.115855455399,19,11333741056,75776393216,87595,74,58
4,val,271.2063510417938,0,931482112,75776393216,91533,0,61
5,train,4537.2012803554535,11,11333741056,75776393216,87388,40,57
5,val,274.48467111587524,0,931482112,75776393216,89551,2,59
6,train,4540.350097894669,24,11333741056,75776393216,87290,86,58
6,val,271.51974868774414,1,931482112,75776393216,89959,9,60
